127.0.0.1 - - [07/May/2018:17:52:39 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/May/2018:17:52:40 +0800] "GET /MRO/ HTTP/1.1" 200 2665
0:0:0:0:0:0:0:1 - - [07/May/2018:17:52:40 +0800] "GET /MRO/resources/images/Innoluxlogo.gif HTTP/1.1" 200 37817
0:0:0:0:0:0:0:1 - - [07/May/2018:17:52:40 +0800] "GET /MRO/resources/images/banner01.jpg HTTP/1.1" 200 72784
0:0:0:0:0:0:0:1 - - [07/May/2018:17:52:40 +0800] "GET /MRO/javax.faces.resource/theme.css.xhtml?ln=primefaces-start HTTP/1.1" 200 18417
0:0:0:0:0:0:0:1 - - [07/May/2018:17:52:40 +0800] "GET /MRO/resources/images/bg.jpg HTTP/1.1" 200 296053
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:32 +0800] "POST /MRO/index.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:32 +0800] "GET /MRO/index.xhtml HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:33 +0800] "GET /MRO/faces/welcome.xhtml HTTP/1.1" 200 45637
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:33 +0800] "GET /MRO/javax.faces.resource/theme.css.xhtml?ln=primefaces-start HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:33 +0800] "GET /MRO/javax.faces.resource/default.css.xhtml?ln=css/menu HTTP/1.1" 200 5219
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:33 +0800] "GET /MRO/javax.faces.resource/syntaxhighlighter.css.xhtml?ln=css/menu HTTP/1.1" 200 3808
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:33 +0800] "GET /MRO/javax.faces.resource/layout/layout.css.xhtml?ln=primefaces&v=5.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:33 +0800] "GET /MRO/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=5.0 HTTP/1.1" 200 108195
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:33 +0800] "GET /MRO/javax.faces.resource/primefaces.css.xhtml?ln=primefaces&v=5.0 HTTP/1.1" 200 55436
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:33 +0800] "GET /MRO/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=5.0 HTTP/1.1" 200 220756
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:33 +0800] "GET /MRO/javax.faces.resource/primefaces.js.xhtml?ln=primefaces&v=5.0 HTTP/1.1" 200 300675
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:33 +0800] "GET /MRO/javax.faces.resource/layout/layout.js.xhtml?ln=primefaces&v=5.0 HTTP/1.1" 200 87647
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:33 +0800] "GET /MRO/javax.faces.resource/loading9.gif.xhtml?ln=images/menu/ajaxLoading HTTP/1.1" 200 3211
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:33 +0800] "GET /MRO/javax.faces.resource/cmo_logo.png.xhtml?ln=images/menu/logo HTTP/1.1" 200 3928
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:33 +0800] "GET /MRO/resources/images/ajaxloadingbar.gif?pfdrid_c=true HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:33 +0800] "GET /MRO/javax.faces.resource/home.png.xhtml?ln=images/menu HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:34 +0800] "GET /MRO/javax.faces.resource/images/ui-bg_inset-hard_100_fcfdfd_1x100.png.xhtml?ln=primefaces-start HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:34 +0800] "GET /MRO/javax.faces.resource/images/ui-bg_gloss-wave_75_2191c0_500x100.png.xhtml?ln=primefaces-start HTTP/1.1" 200 3457
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:34 +0800] "GET /MRO/javax.faces.resource/images/ui-icons_0078ae_256x240.png.xhtml?ln=primefaces-start HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:34 +0800] "GET /MRO/javax.faces.resource/images/ui-icons_e0fdff_256x240.png.xhtml?ln=primefaces-start HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:34 +0800] "GET /MRO/javax.faces.resource/images/ui-bg_gloss-wave_50_6eac2c_500x100.png.xhtml?ln=primefaces-start HTTP/1.1" 200 4256
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:34 +0800] "GET /MRO/javax.faces.resource/images/ui-bg_glass_45_0078ae_1x400.png.xhtml?ln=primefaces-start HTTP/1.1" 200 136
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:34 +0800] "GET /MRO/javax.faces.resource/images/ui-icons_d8e7f3_256x240.png.xhtml?ln=primefaces-start HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:47 +0800] "GET /MRO/javax.faces.resource/images/ui-icons_056b93_256x240.png.xhtml?ln=primefaces-start HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:47 +0800] "GET /MRO/javax.faces.resource/images/ui-bg_glass_75_79c9ec_1x400.png.xhtml?ln=primefaces-start HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:49 +0800] "POST /MRO/faces/welcome.xhtml HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/May/2018:17:53:49 +0800] "GET /MRO/index.xhtml?ssologout HTTP/1.1" 200 2665
